,m1,m2,m3,m4,m5,m6,m7,p-p-t
157,0.002163432216113486,2.983717759307559e-06,6.495693079214396e-09,4.26497018908548e-09,2.216265473038726e-17,7.364354783906562e-12,3.570790413659406e-18,papel
158,0.0021665218060407114,3.0118255010208563e-06,6.23425600789161e-09,4.154991127641901e-09,2.087510921563373e-17,7.210346100978692e-12,3.379756099276028e-18,papel
159,0.002163005217456919,2.9726905804448783e-06,6.874460929512107e-09,4.413614900727771e-09,2.396318675307489e-17,7.600415308953042e-12,4.100317304425947e-18,papel
160,0.0021616414847256973,2.9342710616503955e-06,6.064637218346893e-09,3.935903092229033e-09,1.8908076666663046e-17,6.741785694951865e-12,3.50143378040439e-18,papel
161,0.0021741841646057787,3.0385112770995623e-06,6.388377796448519e-09,4.229926221483207e-09,2.1715350411463125e-17,7.37083057021079e-12,3.4547353439343418e-18,papel
162,0.0021293256568353,2.918098824942237e-06,5.912504191515243e-09,4.16023277515483e-09,2.0516783408078198e-17,7.086604376579416e-12,2.1867542619372884e-18,papel
163,0.002131404823025403,2.8691316380501104e-06,6.242742622046106e-09,4.108901912841938e-09,2.053982547743682e-17,6.95732798496344e-12,3.343686060862363e-18,papel
164,0.002143374759683757,2.910105131379416e-06,6.415664534793266e-09,4.258619679576759e-09,2.197932928638289e-17,7.261875475035394e-12,3.523391138016258e-18,papel
165,0.002150873063534312,2.9289070994144092e-06,6.352628871261082e-09,4.12061684761885e-09,2.0796005833436016e-17,7.0506352330058134e-12,3.4632096065942083e-18,papel
166,0.0021563240276138273,2.9721748589264674e-06,6.281849484519981e-09,4.095729791723678e-09,2.0512027652504588e-17,7.060157526942568e-12,3.294951198619022e-18,papel
167,0.002165575451188315,3.002728208228944e-06,6.419077179358721e-09,4.23752477832216e-09,2.182640558798139e-17,7.341908184036568e-12,3.4707221911709775e-18,papel
